RecID,year,fn_code,fn_number,cabin_class,DEPARTURE_AIRPORT,ARRIVAL_AIRPORT,Anzahl Flugsegmente,currencies,IATA_CODE_DEP,IATA_CODE_ARR,EMISSIONS_KGCO2EQ
174,2020,LH,2370,economy,MUC,ZRH,1,USD,MUC,ZRH,200
175,2020,LH,9488,economy,MUC,PSA,1,USD,MISSING,MISSING,200
176,2020,LH,9489,economy,PSA,MUC,1,USD,MISSING,MISSING,200
177,2020,LX,38,economy,ZRH,SFO,1,USD,ZRH,SFO,1800
178,2020,LX,39,economy,SFO,ZRH,1,USD,SFO,ZRH,1800
179,2020,LX,161,economy,NRT,ZRH,1,USD,NRT,ZRH,1900
180,2020,LX,918,economy,ZRH,DRS,1,USD,MISSING,MISSING,200
181,2020,LX,919,economy,DRS,ZRH,1,USD,MISSING,MISSING,200
182,2020,NH,4782,economy,AKJ,HND,1,USD,MISSING,MISSING,300
183,2020,NH,6752,economy,ZRH,NRT,1,USD,MISSING,MISSING,1900
184,2020,VY,3286,economy,ACE,ZRH,2,USD,ACE,ZRH,600
185,2020,VY,3286,economy,ZRH,ACE,1,USD,ACE,ZRH,600
186,2020,VY,3287,economy,ACE,ZRH,1,USD,ZRH,ACE,600
187,2020,VY,3287,economy,ZRH,ACE,1,USD,ZRH,ACE,600
188,2020,WK,228,economy,ZRH,ACE,1,USD,ZRH,ACE,600
189,2020,EW,7763,economy,ZRH,HAM,2,USD,MISSING,MISSING,200
190,2020,EW,7764,economy,HAM,ZRH,1,USD,MISSING,MISSING,200
191,2020,LH,219,economy,DRS,FRA,1,USD,DRS,FRA,200
192,2020,LH,2128,economy,MUC,DRS,1,USD,MISSING,MISSING,200
193,2020,LH,2371,economy,ZRH,MUC,1,USD,ZRH,MUC,200
194,2020,LH,5778,economy,FRA,ZRH,1,USD,MISSING,MISSING,200
195,2020,LX,316,economy,ZRH,LHR,2,USD,ZRH,LHR,300
196,2020,LX,333,economy,LHR,ZRH,2,USD,LHR,ZRH,300
197,2020,LX,339,economy,LHR,ZRH,1,USD,LHR,ZRH,300
198,2020,LX,450,economy,ZRH,LCY,1,USD,ZRH,LCY,200
199,2020,LX,1057,economy,HAM,ZRH,1,USD,HAM,ZRH,200
200,2020,LX,1059,economy,HAM,ZRH,1,USD,HAM,ZRH,200
201,2020,AF,1376,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
202,2020,AF,1815,economy,ZRH,CDG,1,USD,ZRH,CDG,200
203,2020,DL,408,economy,JFK,ZRH,2,USD,ZRH,JFK,1200
204,2020,IB,3476,economy,MAD,ZRH,1,USD,MAD,ZRH,300
205,2020,IB,3477,economy,ZRH,MAD,1,USD,ZRH,MAD,300
206,2020,IB,8834,economy,MAD,EAS,1,USD,MISSING,MISSING,200
207,2020,IB,8841,economy,EAS,MAD,1,USD,MISSING,MISSING,200
208,2020,KL,1684,economy,BIO,AMS,1,USD,BIO,AMS,300
209,2020,KL,1957,economy,AMS,ZRH,1,USD,AMS,ZRH,200
210,2020,LX,8,economy,ZRH,ORD,1,USD,ZRH,ORD,1400
211,2020,LX,16,economy,ZRH,JFK,1,USD,ZRH,JFK,1200
212,2020,LX,19,economy,EWR,ZRH,1,USD,EWR,ZRH,1200
213,2020,LX,316,economy,ZRH,LHR,1,USD,ZRH,LHR,300
214,2020,LX,319,economy,LHR,ZRH,2,USD,LHR,ZRH,300
215,2020,LX,327,economy,LHR,ZRH,1,USD,LHR,ZRH,300
216,2020,LX,460,economy,ZRH,LCY,1,USD,ZRH,LCY,200
217,2020,LX,1952,economy,ZRH,BCN,1,USD,ZRH,BCN,300
