"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
87,2020,"LX",1013,"economy","DUS","ZRH",1,"USD",200,51.289501,6.76678,"DE",47.458056,8.548056,"CH",445.5918078,0.448841286
88,2020,"AZ",57,"economy","FCO","ZRH",1,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
89,2020,"AZ",568,"economy","FCO","GVA",1,"USD",200,41.804532,12.251998,"IT",46.23809814,6.108950138,"CH",696.2893053,0.287236927
90,2020,"AZ",571,"economy","ZRH","FCO",1,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
91,2020,"AZ",572,"economy","FCO","ZRH",1,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
92,2020,"AZ",575,"economy","GVA","FCO",1,"USD",200,46.23809814,6.108950138,"CH",41.804532,12.251998,"IT",696.2893053,0.287236927
93,2020,"LX",17,"economy","JFK","ZRH",1,"USD",1200,40.639801,-73.7789,"US",47.458056,8.548056,"CH",6316.7853,0.189970047
94,2020,"LX",1012,"economy","ZRH","DUS",1,"USD",200,47.458056,8.548056,"CH",51.289501,6.76678,"DE",445.5918078,0.448841286
96,2020,"LX",1416,"economy","ZRH","BEG",1,"USD",300,47.458056,8.548056,"CH",44.81840134,20.3090992,"RS",952.4838625,0.314965966
97,2020,"LX",1417,"economy","BEG","ZRH",1,"USD",300,44.81840134,20.3090992,"RS",47.458056,8.548056,"CH",952.4838625,0.314965966
98,2020,"LX",1726,"economy","ZRH","FCO",1,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
99,2020,"LX",1727,"economy","FCO","ZRH",1,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
100,2020,"LX",1732,"economy","ZRH","FCO",5,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
101,2020,"LX",1733,"economy","FCO","ZRH",2,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
102,2020,"LX",1736,"economy","ZRH","FCO",1,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
103,2020,"LX",1737,"economy","FCO","ZRH",3,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
104,2020,"QR",95,"economy","DOH","ZRH",1,"USD",900,25.273056,51.608056,"QA",47.458056,8.548056,"CH",4499.861199,0.200006169
105,2020,"QR",96,"economy","ZRH","DOH",1,"USD",900,47.458056,8.548056,"CH",25.273056,51.608056,"QA",4499.861199,0.200006169
106,2020,"QR",1370,"economy","CPT","DOH",1,"USD",1400,-33.96480179,18.60169983,"ZA",25.273056,51.608056,"QA",7460.467683,0.187655796
107,2020,"QR",1371,"economy","DOH","CPT",1,"USD",1400,25.273056,51.608056,"QA",-33.96480179,18.60169983,"ZA",7460.467683,0.187655796
108,2020,"",NA,"economy","AEP","REL",1,"USD",300,-34.5592,-58.4156,"AR",-43.2105,-65.2703,"AR",1130.548424,0.265357939
109,2020,"",NA,"economy","REL","AEP",1,"USD",300,-43.2105,-65.2703,"AR",-34.5592,-58.4156,"AR",1130.548424,0.265357939
110,2020,"4M",7820,"economy","EZE","MIA",1,"USD",1400,-34.8222,-58.5358,"AR",25.79319954,-80.29060364,"US",7126.889685,0.196439129
111,2020,"4M",7821,"economy","MIA","EZE",1,"USD",1400,25.79319954,-80.29060364,"US",-34.8222,-58.5358,"AR",7126.889685,0.196439129
112,2020,"DL",40,"economy","JFK","ZRH",1,"USD",1200,40.639801,-73.7789,"US",47.458056,8.548056,"CH",6316.7853,0.189970047
113,2020,"DL",407,"economy","ZRH","JFK",1,"USD",1200,47.458056,8.548056,"CH",40.639801,-73.7789,"US",6316.7853,0.189970047
114,2020,"EW",769,"economy","ZRH","CGN",1,"USD",200,47.458056,8.548056,"CH",50.86589813,7.142739773,"DE",392.8902733,0.50904798
115,2020,"EW",7037,"economy","CGN","HAM",1,"USD",200,50.86589813,7.142739773,"DE",53.630402,9.98823,"DE",363.6856768,0.549925424
116,2020,"EW",7175,"economy","MUC","HAM",1,"USD",200,48.353802,11.7861,"DE",53.630402,9.98823,"DE",600.6919949,0.332949335
116,2020,"EW",7175,"economy","MUC","HAM",1,"USD",200,48.13779831,11.69029999,"DE",53.630402,9.98823,"DE",622.9600496,0.321047875
117,2020,"EW",7176,"economy","HAM","MUC",1,"USD",200,53.630402,9.98823,"DE",48.353802,11.7861,"DE",600.6919949,0.332949335
117,2020,"EW",7176,"economy","HAM","MUC",1,"USD",200,53.630402,9.98823,"DE",48.13779831,11.69029999,"DE",622.9600496,0.321047875
118,2020,"EW",7177,"economy","MUC","HAM",1,"USD",200,48.353802,11.7861,"DE",53.630402,9.98823,"DE",600.6919949,0.332949335
118,2020,"EW",7177,"economy","MUC","HAM",1,"USD",200,48.13779831,11.69029999,"DE",53.630402,9.98823,"DE",622.9600496,0.321047875
119,2020,"EW",7764,"economy","HAM","ZRH",1,"USD",200,53.630402,9.98823,"DE",47.458056,8.548056,"CH",694.5750018,0.287945865
