"RecID","year","flight_numer","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl Flugsegmente","currencies"
214,2020,"LX319","economy","LHR","ZRH",2,"USD"
215,2020,"LX327","economy","LHR","ZRH",1,"USD"
216,2020,"LX460","economy","ZRH","LCY",1,"USD"
217,2020,"LX1952","economy",NA,NA,1,"USD"
218,2020,"LX1954","economy","ZRH","BCN",1,"USD"
219,2020,"LX1955","economy",NA,NA,1,"USD"
220,2020,"LX1955","economy","BCN","ZRH",1,"USD"
221,2020,"LX3046","economy","LHR","DEN",1,"USD"
222,2020,"LX3057","economy","DEN","LHR",2,"USD"
223,2020,"LX3338","economy","ORD","DEN",1,"USD"
224,2020,"NK425","economy","DEN","ORD",1,"USD"
225,2020,"SK605","economy","ARN","ZRH",1,"USD"
226,2020,"SK1606","economy","ZRH","ARN",1,"USD"
227,2020,"AA40","economy","ORD","BCN",1,"USD"
228,2020,"AA93","economy","ZRH","PHL",1,"USD"
229,2020,"AA324","economy","PHL","PHX",1,"USD"
230,2020,"AA883","economy","PHX","ORD",1,"USD"
231,2020,"AC898","economy","YYZ","VIE",1,"USD"
232,2020,"LH446","economy","FRA","DEN",1,"USD"
233,2020,"LH1187","economy","ZRH","FRA",1,"USD"
234,2020,"LX1577","economy","VIE","ZRH",1,"USD"
235,2020,"UA3629","economy","DEN","YYZ",1,"USD"
236,2020,"LH447","economy",NA,NA,1,"USD"
237,2020,"LH1183","economy",NA,NA,1,"USD"
238,2020,"LH5774","economy",NA,NA,1,"USD"
239,2020,"LH7586","economy",NA,NA,1,"USD"
240,2020,"LX978","economy",NA,NA,1,"USD"
241,2020,"LX979","economy",NA,NA,1,"USD"
242,2020,"UA52","economy","IAD","ZRH",1,"USD"
243,2020,"UA53","economy","ZRH","IAD",1,"USD"
244,2020,"LX253","economy","TLV","ZRH",1,"USD"
245,2020,"LX256","economy","ZRH","TLV",1,"USD"
246,2020,"LX380","economy","ZRH","MAN",1,"USD"
247,2020,"LX395","economy","MAN","ZRH",1,"USD"
248,2020,"LX420","economy",NA,NA,1,"USD"
249,2020,"LX425","economy",NA,NA,1,"USD"
250,2020,"LX38","economy",NA,NA,2,"USD"
251,2020,"LX39","economy",NA,NA,2,"USD"
252,2020,"LH215","economy",NA,NA,1,"USD"
253,2020,"LH1196","economy",NA,NA,1,"USD"
254,2020,"LX914","economy",NA,NA,1,"USD"
255,2020,"AA92","business",NA,NA,1,"USD"
256,2020,"AA93","business",NA,NA,1,"USD"
257,2020,"AC878","first","YYZ","ZRH",1,"USD"
