"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
112,2020,"DL",40,"business","JFK","ZRH",1,"USD",2300,40.639801,-73.7789,"US",47.458056,8.548056,"CH",6316.7853,0.364109257
113,2020,"DL",407,"business","ZRH","JFK",1,"USD",2300,47.458056,8.548056,"CH",40.639801,-73.7789,"US",6316.7853,0.364109257
114,2020,"EW",769,"business","ZRH","CGN",1,"USD",200,47.458056,8.548056,"CH",50.86589813,7.142739773,"DE",392.8902733,0.50904798
115,2020,"EW",7037,"business","CGN","HAM",1,"USD",200,50.86589813,7.142739773,"DE",53.630402,9.98823,"DE",363.6856768,0.549925424
116,2020,"EW",7175,"business","MUC","HAM",1,"USD",300,48.353802,11.7861,"DE",53.630402,9.98823,"DE",600.6919949,0.499424002
116,2020,"EW",7175,"business","MUC","HAM",1,"USD",300,48.13779831,11.69029999,"DE",53.630402,9.98823,"DE",622.9600496,0.481571812
117,2020,"EW",7176,"business","HAM","MUC",1,"USD",300,53.630402,9.98823,"DE",48.353802,11.7861,"DE",600.6919949,0.499424002
117,2020,"EW",7176,"business","HAM","MUC",1,"USD",300,53.630402,9.98823,"DE",48.13779831,11.69029999,"DE",622.9600496,0.481571812
118,2020,"EW",7177,"business","MUC","HAM",1,"USD",300,48.353802,11.7861,"DE",53.630402,9.98823,"DE",600.6919949,0.499424002
118,2020,"EW",7177,"business","MUC","HAM",1,"USD",300,48.13779831,11.69029999,"DE",53.630402,9.98823,"DE",622.9600496,0.481571812
119,2020,"EW",7764,"business","HAM","ZRH",1,"USD",300,53.630402,9.98823,"DE",47.458056,8.548056,"CH",694.5750018,0.431918798
120,2020,"LX",1052,"business","ZRH","HAM",1,"USD",300,47.458056,8.548056,"CH",53.630402,9.98823,"DE",694.5750018,0.431918798
121,2020,"LX",1053,"business","HAM","ZRH",1,"USD",300,53.630402,9.98823,"DE",47.458056,8.548056,"CH",694.5750018,0.431918798
122,2020,"LX",1056,"business","ZRH","HAM",1,"USD",300,47.458056,8.548056,"CH",53.630402,9.98823,"DE",694.5750018,0.431918798
123,2020,"LX",1057,"business","HAM","ZRH",1,"USD",300,53.630402,9.98823,"DE",47.458056,8.548056,"CH",694.5750018,0.431918798
124,2020,"LX",1125,"business","MUC","GVA",1,"USD",200,48.353802,11.7861,"DE",46.23809814,6.108950138,"CH",488.8803375,0.409098065
124,2020,"LX",1125,"business","MUC","GVA",1,"USD",200,48.13779831,11.69029999,"DE",46.23809814,6.108950138,"CH",472.0802591,0.423656775
